Clone,Col,Row,border position,Blk,Plot,DBH15a,DBH15b,DBH15c,DBH15d,DBH15e,DBH14a,DBH14b,DBH14c,DBH14d,DBH14e,Ht14a(ft),Ht14b(ft),Ht14c(ft),Ht14d(ft),Ht14e(ft),DBH13a,DBH13b,DBH13c,DBH13d,DBH13e,DBH12a,DBH12b,DBH12c,DBH12d,DBH12e,Ht12a(ft),Ht12b(ft),Ht12c(ft),Ht12d(ft),Ht12e(ft),DBH11a,DBH11b,DBH11c,DBH11d,DBH11e,DBH10a,DBH10b,DBH10c,DBH10d,DBH10e,DBH09a,DBH09b,DBH09c,DBH09d,DBH09e,DBH09f,DBH08a,DBH08b,DBH08c,DBH08d,DBH08e,DBH08f,Ht08(ft),DBH07a,DBH07b,DBH07c,DBH07d,DBH07e,Canker14,Canker13,Notes2014,"Canker Scoring: _1-clean_2-few on branches, small stem, healing ",Notes11,Notes10,Notes,LeafSpot08yr4,LeafRust08yr4,Canker08yr4
17XGA04,1,1,1,1,1,7.4,,,,,6.8,,,,,39,,,,,5.6,,,,,5,,,,,32.6,,,,,,,,,,2.8,,,,,2.7,,,,,,2.3,,,,,,16.5,1.6,,,,,1,0,,,,,,,1,
17XGA04,1,2,1,1,1,4.3,,,,,4,,,,,34,,,,,3.2,,,,,2.7,,,,,27.2,,,,,,,,,,2.0,,,,,1.7,,,,,,1.3,,,,,,13.5,0.7,,,,,1,0,,,,,,,1,
17XGA04,1,3,1,1,1,7.6,7.1,,,,6.4,6.6,,,,46,41,,,,5.5,5.8,,,,5.4,4.7,,,,39.3,38.3,,,,,,,,,3.3,3.2,,,,2.7,2.5,,,,,2.3,1.8,,,,,19.5,1.3,1.1,,,,1,0,,,,,,,1,
17XGA04,1,4,1,1,1,5,,,,,4.4,,,,,39,,,,,3.8,1.1,,,,3.2,1,,,,35.3,,,,,,,,,,2.6,0.8,,,,2.0,0.8,,,,,1.6,0.7,,,,,14.0,1.2,0.5,,,,1,0,,,,,,,0,
82XAA04,1,5,1,1,2,6.6,,,,,6.9,,,,,42,,,,,5.8,,,,,5.4,,,,,39.5,,,,,,,,,,3.7,,,,,3.0,,,,,,2.5,,,,,,20.0,1.6,,,,,1,0,,,,,,,1,
82XAA04,1,6,1,1,2,6.4,,,,,5.8,,,,,44,,,,,5,,,,,4.2,,,,,36,,,,,,,,,,3.0,,,,,2.4,,,,,,1.8,,,,,,16.5,1.0,,,,,1,0,,,,,,,1,
82XAA04,1,7,1,1,2,8.7,6,3,,,7.8,5.8,2.8,,,48,48,,,,6.9,4.5,2.7,,,5.8,4,2.5,,,38.8,37,,,,,,,,,4.7,2.6,2.3,,,3.2,2.4,2.1,,,,2.6,1.7,1.8,,,,22.0,1.6,1.3,1.2,,,2,0,,,,,,,1,
82XAA04,1,8,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,1.3,,,,,,1.3,,,,,,13.5,1.6,,,,,,0,,Died 2011,,,,,2,
2XT4E04,1,9,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,dead sprout,,,
2XT4E04,1,10,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead sprout,,,
2XT4E04,1,11,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead sprout,,,
2XT4E04,1,12,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead sprout,,,
83XAA04,1,13,1,4,4,7.5,5.9,4.1,,,7.4,5.5,3.5,,,45,38,38,,,6.5,4.4,3.5,1.4,,5.8,3.5,3,1.3,,38.1,34.7,29.9,,,5.2,3.1,3,,,4.6,2.8,2.4,1.2,,3.7,2.2,2.1,1.2,0.8,0.7,3.2,1.6,1.5,1.1,0.7,0.6,22.0,2.4,1.1,0.9,0.8,0.5,1,0,,,,,,,1,
83XAA04,1,14,1,4,4,9.7,6.8,2.1,,,8.8,6.1,1.9,,,51,50,,,,8,5.3,1.8,,,6.9,4.6,1.8,,,44.2,39.4,,,,6.2,4.2,1.8,,,5.2,3.3,1.7,,,4.2,2.7,1.6,,,,3.4,1.9,1.2,,,,23.0,2.3,1.5,0.8,,,1,0,,,,,,,1,
83XAA04,1,15,1,4,4,6.6,6.3,6.1,,,6.1,5.8,5.6,,,48,44,40,,,5.6,5.5,5.1,,,5.3,4.9,4.5,,,40.5,38.5,34.7,,,4.7,4.5,4.2,,,4.3,3.5,3.6,,,3.7,3.2,3.1,,,,3.1,3.0,2.4,,,,21.0,2.0,1.9,1.5,,,1,0,,,,,,,1,1
83XAA04,1,16,1,4,4,9.7,4.9,,,,8.7,4.6,,,,48,38,,,,7.9,4.1,,,,7.1,3.5,,,,42.9,35.9,,,,6.1,3.2,,,,5.3,2.6,,,,4.2,2.2,,,,,3.2,1.4,,,,,23.0,2.1,0.8,,,,1,0,,,,,,,1,
81XAA04,1,17,1,5,5,7.2,2.7,,,,6.8,2.4,,,,42,30,,,,5.8,2.4,,,,5.2,2.4,,,,36.8,28.7,,,,,,,,,4.0,2.2,,,,3.5,1.8,,,,,2.8,1.8,,,,,21.0,2.2,1.1,,,,1,0,,,,,,,1,
81XAA04,1,18,1,5,5,9.5,6.9,,,,8.6,6.1,,,,42,40,,,,7.5,5.5,,,,6.7,4.9,,,,37.3,37.3,,,,,,,,,5.2,3.4,,,,4.3,2.8,,,,,3.5,2.5,,,,,23.0,2.6,2.1,,,,1,0,,,,,,,1,
81XAA04,1,19,1,5,5,8.2,4.2,,,,7.6,3.8,,,,45,41,,,,6.7,3.4,2.3,,,5.9,3.2,2.2,,,35,25.2,21.7,,,,,,,,4.5,2.6,2.2,,,3.7,2.0,2.0,,,,3.2,1.7,1.4,,,,23.0,2.4,1.3,0.9,,,1,0,,,,,,,1,
81XAA04,1,20,1,5,5,4.9,,,,,4.5,,,,,29,,,,,4,,,,,3.7,,,,,26,,,,,,,,,,2.8,,,,,2.4,,,,,,2.4,,,,,,16.0,1.8,,,,,1,0,,Dying small stems,,,,,1,
NM6,1,21,1,5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,
80XAA04,2,1,1,1,10,11.5,,,,,10.2,,,,,52,,,,,9.4,,,,,8.3,,,,,44.7,,,,,7.7,,,,,6.4,,,,,5.3,,,,,,4.0,,,,,,23.9,3.2,,,,,2,0,,,,,,,1,
80XAA04,2,2,2,1,10,7.9,,,,,7.6,,,,,50,,,,,6.8,,,,,6,,,,,38.2,,,,,5.1,,,,,4.2,,,,,3.3,,,,,,2.5,,,,,,18.1,1.8,,,,,1,0,,,,,,,1,
80XAA04,2,3,2,1,10,8.1,,,,,7.2,,,,,49,,,,,6.4,,,,,5.7,,,,,38.9,,,,,5.2,,,,,4.3,,,,,3.4,,,,,,2.7,,,,,,21.0,1.9,,,,,1,0,,,,,,,1,
80XAA04,2,4,2,1,10,3.1,,,,,3.2,,,,,32,,,,,3,,,,,2.8,,,,,32.8,,,,,2.6,,,,,2.2,,,,,2.1,,,,,,1.7,,,,,,15.5,1.2,,,,,1,0,,,,,,,1,
84XAA04,2,5,2,1,9,6.1,5.4,,,,5.6,4.9,4.6,,,47,45,45,,,4.7,4.5,4.4,1.4,,4.1,4,3.9,,,45.6,42.5,42.5,,,,,,,,3.3,3.1,3.1,1.2,,2.5,2.4,2.4,1.1,,,2.2,1.8,1.8,0.7,0.4,,19.4,1.5,1.3,1.2,0.5,,1,0,,,,,,,1,
84XAA04,2,6,2,1,9,7.2,,,,,6.5,,,,,45,,,,,6,,,,,5.4,,,,,39.5,,,,,,,,,,4.5,1.1,,,,4.1,1.1,,,,,3.4,1.1,,,,,23.3,2.6,0.6,,,,1,0,,,,,,,1,
84XAA04,2,7,2,1,9,5.7,5.4,3.3,,,5.4,5.4,3.2,,,47,42,34,,,5.1,5,3,,,5,4.3,,,,34.6,33.6,33.6,,,,,,,,4.1,3.1,2.6,,,3.3,2.8,2.2,,,,2.8,2.0,2.0,,,,19.4,2.1,1.4,1.3,,,1,0,,,,,,,1,
84XAA04,2,8,2,1,9,4.1,3.8,,,,3.9,3.7,,,,37,34,,,,3.4,3.3,,,,3.2,2.7,,,,27.6,24.9,,,,,,,,,2.5,2.5,,,,2.1,2.0,,,,,1.5,1.3,,,,,13.8,0.9,0.8,,,,1,0,,,,,,,1,
18XAG04,2,9,2,4,8,4.9,1.6,,,,4.9,1.5,,,,38,,,,,4.2,1.4,,,,3.6,1.4,,,,33.1,,,,,,,,,,2.8,1.2,0.8,,,2.3,1.0,0.8,,,,1.8,0.7,0.8,,,,14.7,1.4,0.6,0.5,,,1,0,,,,,,,1,1
18XAG04,2,10,2,4,8,6.7,,,,,6.4,,,,,42,,,,,6,,,,,5.4,,,,,37.3,,,,,,,,,,4.1,,,,,3.3,,,,,,2.7,,,,,,20.8,1.9,,,,,2,0,,,,,,,1,
18XAG04,2,11,2,4,8,7.4,6.9,,,,6.4,6.6,,,,54,48,,,,5.7,5.9,,,,5.5,5,,,,46,37.3,,,,,,,,,4.1,3.6,,,,3.2,2.9,,,,,2.7,2.3,,,,,22.7,2.2,1.7,,,,1,0,,,,,,,1,
18XAG04,2,12,2,4,8,6.4,6.2,,,,6,6.2,,,,49,40,,,,5.7,5.2,,,,5.1,5,,,,38.4,36.9,,,,,,,,,4.1,4.0,,,,3.3,3.2,,,,,3.0,2.8,,,,,22.1,2.3,1.9,,,,1,0,,,,,,,1,
81XAA04,2,13,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprout,,,
81XAA04,2,14,2,4,7,6.8,,,,,6.3,,,,,50,,,,,5.5,,,,,4.6,,,,,40,,,,,,,,,,3.6,,,,,2.9,,,,,,2.3,,,,,,19.9,1.5,,,,,1,0,,,,,,,1,
81XAA04,2,15,2,4,7,3.3,,,,,3.2,,,,,28,,,,,2.9,,,,,2.8,,,,,25.3,,,,,,,,,,2.3,,,,,2.1,,,,,,1.6,,,,,,14.0,1.0,,,,,1,0,,,,,,,1,
81XAA04,2,16,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprout,,,
80XAA04,2,17,2,5,6,5.6,4.5,,,,5.3,4.2,,,,43,43,,,,4.8,3.8,,,,4.4,3.3,,,,39.1,39.1,,,,3.7,3,,,,3.7,2.6,0.7,,,3.0,2.2,0.7,,,,2.8,1.8,0.7,,,,20.0,1.9,1.2,0.6,,,1,0,,3rd stem dead,,,,,1,
80XAA04,2,18,2,5,6,6.6,,,,,6.1,,,,,47,,,,,5.9,,,,,5.4,,,,,36.3,,,,,4.8,,,,,4.2,,,,,3.7,0.7,,,,,3.3,0.7,,,,,20.2,2.3,0.6,,,,1,0,,,,,,,1,
80XAA04,2,19,2,5,6,6.1,4.5,4.6,3.1,,5.8,4.4,4.8,3.3,,44,42,37,33,,5.4,4.2,4,3,1.4,4.8,4.2,3.9,3,1.4,38.5,34.4,30.6,28.5,,4.5,3.7,3.7,2.6,1.4,3.8,3.2,3.2,2.5,1.3,3.3,3.1,2.6,2.2,1.4,,2.8,2.8,2.0,1.7,1.4,,22.1,2.4,2.1,1.5,1.3,,1,0,1 of 5 stems died,,,,,,1,
80XAA04,2,20,2,5,6,9.6,,,,,8.6,,,,,47,,,,,8,,,,,6.8,,,,,37.1,,,,,6,1.5,0.9,0.6,,5.2,1.5,0.9,0.6,,4.3,1.4,0.9,0.6,,,3.6,1.4,0.9,0.6,,,22.4,2.2,0.7,0.5,0.3,,2,0,,,,,,,1,
NM6,2,21,1,5,61,5.1,2.6,,,,4.3,2.2,,,,33,20,,,,3.3,1.8,,,,2.9,1.8,,,,26.2,16.3,,,,1.95,,,,,2.0,1.2,,,,1.5,0.8,0.5,,,,0.9,0.8,0.4,,,,13.6,0.5,0.4,0.2,,,1,0,,,,,,,1,
83XAA04,3,1,1,1,11,9,5.4,2.2,,,8.4,5.2,1.9,,,48,46,,,,7.5,4.3,1.7,1.3,,6.5,3.2,1.5,1.1,,38.1,36.7,,,,6.2,3.3,1.4,1.1,,5.3,2.9,1.4,1.1,,4.1,2.5,1.2,0.9,,,3.4,1.9,1.1,0.8,,,22.0,2.6,0.9,0.5,0.3,,2,0,1 of 4 stems died,,,,,,1,
83XAA04,3,2,2,1,11,7.6,5.9,,,,7.3,5.6,,,,47,43,,,,6.4,5.1,2,,,6.3,4.7,2,,,40.4,40.4,23,,,5.6,4,2,,,4.4,3.6,1.9,,,4.1,2.8,1.8,1,,,3.2,2.4,1.5,1,,,22.4,2.3,1.2,0.7,0.3,,2,0,1 of 3 stems died,,,,,,1,
83XAA04,3,3,3,1,11,5.8,4.8,,,,5.4,4.3,,,,44,42,,,,5.3,4,,,,4.8,3.9,,,,43.6,38.3,,,,4.2,3.7,,,,3.7,4.0,,,,3.5,2.8,,,,,2.7,2.2,,,,,20.8,1.9,1.7,,,,1,0,,,,,,,1,
83XAA04,3,4,3,1,11,,,,,,7.5,,,,,43,43,,,,7.2,5.3,1.5,,,6.8,5.1,1.5,,,42.1,42,,,,6,4.5,1.3,,,5.5,4.1,1.3,,,4.4,3.4,1.2,,,,3.5,2.5,1.1,,,,23.1,2.2,1.4,0.6,,,1,0,2 of 3 stems died,2 out of 3 stems died 2014,,,,,1,
1XTE04,3,5,3,1,12,5.8,3.9,3.1,,,5.3,3.4,3,,,43,41,,,,4.5,3,2.5,,,4.2,,,,,42,38,,,,,,,,,3.1,3.0,1.9,,,2.7,1.8,1.6,,,,2.4,1.2,1.2,,,,21.6,1.7,0.5,0.4,,,2,0,,mistake in 2010,,,,,0,
1XTE04,3,6,3,1,12,,,,,,,,,,,32,,,,,3.3,,,,,3.3,,,,,31.2,,,,,,,,,,2.6,,,,,2.4,1.0,,,,,1.8,,,,,,18.2,1.1,,,,,,0,died 2014,,,,,,0,
1XTE04,3,7,3,1,12,5,3,,,,4.5,,,,,43,38,,,,4,3,,,,3.8,3,,,,40.1,36.5,,,,,,,,,2.7,2.4,,,,2.3,1.8,,,,,1.8,1.4,,,,,18.2,1.0,0.5,,,,1,0,1 of 2 stems died,,,,,,0,
1XTE04,3,8,3,1,12,5.2,4.7,,,,4.9,4.5,,,,43,42,,,,4.4,3.8,,,,4.4,3.8,,,,39.9,37.8,,,,,,,,,3.0,2.7,,,,2.4,2.2,,,,,1.9,1.6,,,,,18.6,1.2,0.6,,,,1,0,,,,,,,0,
80XAA04,3,9,3,4,13,9.7,4.4,,,,8.8,4.1,,,,48,44,43,,,8.1,3.6,2.3,,,7.7,2.3,3.2,,,41.5,39.2,26.6,,,7,3,2,0.7,,6.1,2.3,1.8,0.7,,4.8,1.7,1.6,0.6,,,3.8,1.3,1.2,0.6,,,22.7,2.7,0.8,0.7,0.2,,2,0,1 of 3 stems died,,,,,,1,
80XAA04,3,10,3,4,13,5.3,,,,,5.1,,,,,38,,,,,4.9,,,,,4.6,,,,,37.4,,,,,4.6,,,,,3.7,,,,,3.1,,,,,,2.6,,,,,,19.0,1.9,,,,,1,0,,,,,,,1,
80XAA04,3,11,3,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.6,,,,1.9,1.6,,,,1.8,1.6,,,,,1.6,1.6,,,,,16.7,1.2,1.0,,,,,,,died 2011,,,,,1,
80XAA04,3,12,3,4,13,11.8,,,,,11,,,,,48,,,,,9.7,2.8,,,,9,2.8,,,,43,34,,,,8,2.6,,,,6.8,2.2,,,,5.2,1.8,,,,,4.3,1.4,,,,,24.7,3.0,0.5,,,,2,0,1 of 2 stems died,plus,,,,,1,
82XAA04,3,13,3,4,14,,,,,,4.8,3.4,3.1,,,34,30,30,,,5.6,3.2,2.9,,,4.5,3.2,2.9,,,32.7,28.3,28,,,,,,,,4.2,2.8,2.5,,,3.8,2.2,2.2,,,,3.3,1.7,1.5,,,,20.2,2.2,0.7,0.6,,,3,0,,,,,,,1,
82XAA04,3,14,3,4,14,7.9,1.7,,,,7.4,1.7,,,,46,,,,,7.1,1.7,,,,6.5,1.7,,,,41.2,,,,,,,,,,5.0,1.6,,,,4.1,1.4,,,,,3.2,1.2,,,,,22.8,2.5,0.6,,,,1,0,,,,,,,1,
82XAA04,3,15,3,4,14,5.4,4.4,,,,5.1,4.2,,,,40,40,,,,4.8,4,,,,4.2,3.7,,,,35.9,35.9,,,,,,,,,3.3,2.7,,,,2.7,2.6,,,,,2.2,2.1,,,,,18.5,1.5,1.3,,,,1,0,,,,,,,1,
82XAA04,3,16,3,4,14,7,,,,,6.7,,,,,40,,,,,6.2,,,,,6.2,,,,,39.5,,,,,,,,,,4.4,1.5,,,,3.5,1.5,,,,,2.9,1.5,,,,,19.2,1.9,0.5,,,,1,0,,,,,,,1,
83XAA04,3,17,3,5,15,7.7,4.2,,,,7.1,4.1,,,,48,36,,,,6.4,3.9,,,,6,3.8,,,,40.7,35.3,,,,5.3,3.2,,,,5.0,3.0,,,,4.4,2.3,,,,,3.5,1.7,,,,,21.8,2.4,1.0,,,,1,0,,,,,good weed control,,0,
83XAA04,3,18,3,5,15,7.2,,,,,6.9,,,,,44,,,,,6.5,,,,,6.4,,,,,41.7,,,,,5.9,,,,,5.4,,,,,4.4,,,,,,3.7,,,,,,22.6,2.9,,,,,1,0,,,,,good weed control,,1,
83XAA04,3,19,3,5,15,5.9,,,,,5.6,,,,,43,,,,,5,,,,,4.8,,,,,40,,,,,4.2,,,,,3.9,,,,,3.3,,,,,,2.7,,,,,,20.1,1.7,,,,,1,0,,,,,good weed control,,1,
83XAA04,3,20,2,5,15,6.7,5.2,,,,6.4,4.8,,,,49,43,,,,5.9,4.4,,,,5.2,4,,,,47.9,40.4,,,,4.6,3.4,,,,4.4,3.2,,,,3.6,2.6,,,,,3.1,2.0,,,,,21.5,2.2,1.4,,,,1,0,,,,,good weed control,,1,
NM6,3,21,1,5,61,8,5.1,4.4,,,7.5,4.5,4.3,,,48,39,,,,6.7,4.5,3.5,,,6.6,4.5,3,,,46,37.4,,,,1.9,,,,,5.0,3.7,1.9,,,3.8,3.1,1.3,,,,3.1,2.4,1.0,,,,24.4,2.1,1.5,0.5,,,4,2,,Cankers,,,green leaves to ground,1,1,2
85XAA04,4,1,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,Dead,,,dying08,,,
85XAA04,4,2,2,1,20,4.5,,,,,4.5,,,,,40,,,,,4.4,,,,,4.2,,,,,38.4,,,,,,,,,,3.3,,,,,2.7,,,,,,2.3,,,,,,21.5,1.6,,,,,2,0,,,,,,,1,
85XAA04,4,3,3,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,0.4,,,,,,0.3,,,,,,8.0,0.3,,,,,,,,dead,,,,1,1,
85XAA04,4,4,3,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,0.1,,,,,,7.3,0.1,,,,,,,,dead,,,,1,1,
18XAG04,4,5,3,1,19,5.6,4.5,,,,5.4,4.4,,,,45,43,,,,4.8,4.1,,,,4.6,4.1,,,,43.2,42.2,,,,,,,,,3.7,3.3,,,,2.9,2.9,,,,,2.5,2.3,,,,,24.9,1.8,1.6,,,,1,0,,,,,,1,1,
18XAG04,4,6,3,1,19,6.4,,,,,6,,,,,45,,,,,5.6,,,,,5.6,,,,,42,,,,,,,,,,3.9,,,,,3.1,,,,,,2.3,,,,,,21.9,1.5,,,,,1,0,,,,,,1,1,
18XAG04,4,7,3,1,19,3.1,,,,,3,,,,,37,32,,,,2.8,2.2,,,,2.8,2.2,,,,35.2,30.6,,,,,,,,,2.2,1.9,,,,2.0,1.7,,,,,1.8,1.6,,,,,17.0,1.4,1.2,,,,1,0,1 of 2 stems died,,,,,1,1,
18XAG04,4,8,3,1,19,7,,,,,6.8,,,,,42,,,,,6.3,1.9,,,,6.1,1.8,,,,39.9,27.2,,,,,,,,,4.6,1.7,0.7,,,3.6,1.6,0.7,,,,3.1,1.3,0.7,,,,19.6,2.4,0.4,0.1,,,2,0,,,,,,1,1,
85XAA04,4,9,3,4,18,,,,,,,,,,,23,,,,,1.8,,,,,1.8,,,,,21.6,,,,,,,,,,1.6,,,,,1.4,,,,,,1.3,,,,,,11.7,0.7,,,,,,0,died 2014,,,,,,1,
85XAA04,4,10,3,4,18,,,,,,2.9,,,,,33,,,,,2.7,,,,,2.7,,,,,31.3,,,,,,,,,,2.4,0.7,,,,1.8,0.7,,,,,1.5,0.7,,,,,15.5,0.8,0.2,,,,3,0,,,,,,,1,
85XAA04,4,11,3,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.4,,,,,,0.4,,,,,,8.6,3.0,,,,,,,,dead,,,,,1,
85XAA04,4,12,3,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.6,,,,,,0.6,,,,,,9.0,0.3,,,,,,,,dead,,,,,1,
84XAA04,4,13,3,5,17,5.2,2.7,,,,4.8,2.6,,,,40,30,,,,4.4,2.5,,,,4,2.5,,,,35.5,28.8,,,,,,,,,2.9,2.0,,,,2.5,1.9,,,,,2.3,1.9,,,,,16.5,1.7,1.1,,,,1,0,,,,,,,1,
84XAA04,4,14,3,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,root collar dead08,,,
84XAA04,4,15,3,5,17,8,,,,,7.6,,,,,48,,,,,7.1,,,,,6.8,,,,,43.3,,,,,,,,,,5.1,,,,,4.1,,,,,,3.2,,,,,,21.6,2.1,,,,,1,0,,,,,,,1,
