Od,C,R,YrDied,Stems15,"DBH15-1
(in)","DBH15-2
(in)","DBH14-3
(in)","DBH15-4
(in)","DBH15-5
(in)","Root Collar Weevil
(1=none,2=moderate,3=severe)",Plus Tree,Stems14,"DBH14-1
(in)","DBH14-2
(in)","DBH14-3
(in)2","DBH14-4
(in)","DBH14-5
(in)","Ht14-1
(ft)","Ht14-2
(ft)","Ht14-3
(ft)","Ht14-4
(ft)","Ht14-1
(ft)3","Ht14-2
(ft)4","Ht14-3
(ft)5","Ht14-4
(ft)6",Notes2014,Stems13,"DBH13-1
(in)","DBH13-2
(in)","DBH13-3
(in)","DBH13-4
(in)","DBH13-5
(in)","Ht13-1
(ft)","Ht13-2
(ft)","Ht13-3
(ft)","Ht13-4
(ft)","DBH12-1
(in)","DBH12-2
(in)","DBH12-3
(in)","Ht12-1
(ft)","Ht12-2
(ft)","Ht12-3
(ft)",Notes 2012 & 2013,"DBH11-1
(in.)","DBH11-2
(in.)","DBH11-3
(in.)","Ht11-1
(cm)","Ht11-2
(cm)","Ht11-3
(cm)","Ht10
(cm)",Stems09,"Ht09
(cm)",Notes  2009-2011
1,1,1,,1,2.4,,,,,1,0,1,1.6,,,,,,,,,17.0,,,,,1,1.5,,,,,13.0,,,,0.8,,,10.5,,,,0.3,,,210,,,72,1,32,
2,1,2,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
3,1,3,,1,6.0,,,,,1,0,1,5.6,,,,,,,,,27,,,,,1,3.3,,,,,23.5,,,,2.5,,,18,,,,1.6,,,450,,,264,1,67,
4,1,4,,1,3.7,,,,,1,0,1,3.2,,,,,,,,,25.0,,,,,1,2.3,,,,,22.0,,,,1.5,,,17,,,,1,,,365,,,196,1,45,canker/insect damage
5,1,5,,1,4.6,,,,,2,0,1,4.2,,,,,,,,,23.0,,,,,1,3.3,,,,,21.0,,,,2.4,,,16.5,,,,1.5,,,400,,,225,1,36,
6,1,6,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
7,1,7,,1,6.2,,,,,2,0,1,5.2,,,,,,,,,31.0,,,,,1,3.9,,,,,26.0,,,,3,,,21.5,,,,2,,,480,,,302,1,64,28-cuttings 2011
8,1,8,,1,5.1,,,,,1,0,1,4.4,,,,,,,,,26.0,,,,,1,3.1,,,,,23.0,,,,2.2,,,18,,,,1.3,,,380,,,197,1,73,
9,1,9,,2,4.4,3.7,,,,1,0,2,3.5,2.7,,,,,,,,25.0,24.0,,,,2,2.8,2,,,,22.0,21.0,,,1.9,1.2,,16,,,,1.6,0.6,,350,300,,178,2,57,
10,2,1,,1,5.4,,,,,1,0,1,4.2,,,,,,,,,26.0,,,,,1,2.9,,,,,22.0,,,,2.1,,,19,,,,1.1,,,330,,,174,1,54,
11,2,2,,1,6.1,,,,,1,0,1,4.4,,,,,,,,,30.0,,,,,1,3.3,,,,,26.0,,,,2.4,,,17,,,,1.4,,,390,,,197,2,86,
12,2,3,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
13,2,4,,2,4.4,3.5,,,,1,0,2,3.9,3,,,,,,,,22.0,22.0,,,,2,2.8,2.2,,,,20.0,19.0,,,1.9,1.4,,19,,,,1.2,0.8,,330,300,,175,3,60,
14,2,5,,1,4.8,,,,,1,0,1,4,,,,,,,,,24.0,,,,,1,3.4,,,,,22.0,,,,2.2,,,16,,,,1.5,,,410,,,257,2,58,
15,2,6,,1,2.0,,,,,2,0,1,1.5,,,,,,,,,27.0,,,,,1,1.4,,,,,18.0,,,,0.9,,,13,,,,0.6,,,300,,,177,3,33,
16,2,7,,1,5.2,,,,,1,1,1,4.2,,,,,,,,,30.0,,,,,1,3.2,,,,,25.0,,,,2.3,,,18,,,,1.5,,,410,,,224,1,58,
17,2,8,,1,4.3,,,,,1,0,1,3.7,,,,,,,,,28.0,,,,,1,3,,,,,22.0,,,,1.9,,,17.5,,,,1.4,,,390,,,233,2,62,(Potential Branches For Cutting)
18,2,9,,3,4.5,2.5,2.0,,,1,0,3,4,2.1,1.5,,,,,,,26.0,,,,,3,3.1,1.5,1.2,,,23.0,22.0,19.0,,1.7,,,17.5,,,,1,,,375,,,187,1,61,(Potential Branches For Cutting)
19,3,1,,1,5.4,,,,,1,0,1,4.4,,,,,,,,,25.0,,,,,1,3,,,,,23.0,,,,2.1,,,18.5,,,,1.3,,,400,,,242,2,42,
20,3,2,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
21,3,3,,2,3.2,2.3,,,,1,0,2,2.5,1.9,,,,,,,,22.0,21.0,,,,2,1.9,1.2,,,,18.0,17.0,,,1,0.6,,13,,,,0.6,,,295,,,143,1,29,
22,3,4,,1,2.0,,,,,1,0,1,1.4,,,,,,,,,16.0,,,,,1,0.8,,,,,11.0,,,,0.4,,,8.5,,,,0.2,,,204,,,94,1,40,7 stems 2011
23,3,5,,2,4.4,2.6,,,,1,0,2,3.7,2.1,,,,,,,,23,20.0,,,,3,2.8,1.4,0.7,,,21.5,20.0,18.0,,1.9,0.8,0.7,17.5,,,,1.3,,,400,,,237,1,39,
24,3,6,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,"missing09, willow"
25,3,7,,1,4.8,,,,,1,0,1,4.4,,,,,,,,,26.0,,,,,1,3.2,,,,,23.0,,,,2.1,,,20,,,,1.5,,,410,,,210,1,54,36-cuttings 2011
26,3,8,,1,6.6,,,,,1,1,1,5.5,,,,,,,,,33.0,,,,,1,4.2,,,,,27.0,,,,3,,,23,,,"Canker? Insect? 5.9"" base 2013 ",2.5,,,540,,,342,2,140,"Biggest Tree, 2nd small stem ht-156 cm, made 10 cuttings of 10"" on 1/26/11"
27,3,9,,1,6.4,,,,,1,0,1,5.4,,,,,,,,,31.0,,,,,1,4.3,,,,,28.0,,,,2.9,,,22.5,,,,2,,,490,,,280,2,90,(Potential Branches For Cutting)
28,4,1,,1,4.2,,,,,3,0,1,3.2,,,,,,,,,22,,,,,1,2.2,,,,,19.5,,,,1.6,,,15,,,,0.8,,,320,,,152,1,40,
29,4,2,,1,2.6,,,,,2,0,1,2.1,,,,,,,,,19,,,,,1,1.4,,,,,14.5,,,,0.7,,,11.4,,,,0.4,0.3,0.3,250,190,160,132,2,29,
30,4,3,,1,2.5,,,,,1,0,1,1.9,,,,,,,,,17,,,,,1,1.2,,,,,12.5,,,,0.6,,,9.2,,,,0.3,,,200,,,75,2,29,
31,4,4,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
32,4,5,,1,4.0,,,,,1,0,1,3.4,,,,,,,,,21.0,,,,,1,2.4,,,,,18.0,,,,1.8,,,13.5,,,,0.9,,,300,,,168,1,33,
33,4,6,,1,4.8,,,,,1,0,1,4.2,,,,,,,,,27.0,,,,,1,3.1,,,,,24.0,,,,2.2,,,18.5,,,,1.5,,,410,,,245,1,39,
34,4,7,,1,3.2,,,,,1,0,1,2.8,,,,,,,,,22,,,,,1,2.2,,,,,18.5,,,,1.7,,,14.5,,,,1.2,,,370,,,215,1,35,
35,4,8,,1,3.0,,,,,1,0,1,2.7,,,,,,,,,20.0,,,,,1,2.2,,,,,17.0,,,,1.7,,,15.5,,,,1.2,,,370,,,196,1,34,
36,4,9,,1,4.3,,,,,1,0,1,3.7,,,,,,,,,22.0,,,,,1,2.6,,,,,18.0,,,,1.8,,,14.5,,,,1,,,330,,,174,1,45,
37,5,1,10,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,23,dead10
38,5,2,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
39,5,3,,5,3.8,3.5,1.8,1.6,1.4,2,0,5,3.4,3.3,1.7,1.5,1.4,,,,,22.0,22.0,17.0,16.0,,5,2.4,2,1.1,1.1,0.7,21.0,21.0,15.0,12.5,1.8,1.3,1,16,16,12.5,5stems.7 &.6 12.5 high,1,,,360,,,190,3,46,5stems2011
40,5,4,10,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,28,dead10
41,5,5,,1,4.2,,,,,1,0,1,3.4,,,,,,,,,24.0,,,,,1,2.8,,,,,21.0,,,,2,,,,,,,1.2,,,380,,,222,1,50,
42,5,6,,1,5.9,,,,,1,1,1,5.2,,,,,,,,,29.0,,,,,1,4,,,,,27.0,,,,2.8,,,,,,+tree2013 may flower 2014 @ 5-yrs,2,,,510,,,308,1,62,
43,5,7,,1,5.3,,,,,1,1,1,4.5,,,,,,,,,26.0,,,,,1,3.6,,,,,25.0,,,,2.7,,,,,,+tree2013,2,,,460,,,286,1,60,
44,5,8,,1,4.9,,,,,3,0,1,4.5,,,,,,,,,28.0,,,,,1,3.2,,,,,26.0,,,,2.7,,,,,,+tree2013,1.6,,,460,,,262,1,34,
45,5,9,,2,5.6,5.0,,,,1,0,2,4.4,4,,,,,,,,29.0,27.0,,,,2,3.2,2.9,,,,26.0,26.0,,,2.4,2.1,,,,,"Impressive root collar >5"" diameter",1.7,1,,450,400,,269,1,56,
46,6,1,,1,6.0,,,,,1,0,1,4.6,,,,,,,,,28.0,,,,,1,3.4,,,,,24.0,,,,2.5,,,18.5,,,,1.5,,,440,,,232,2,60,
47,6,2,,1,3.6,,,,,1,0,1,2.6,,,,,,,,,19.0,,,,,1,1.7,,,,,16.0,,,,1.1,,,12,,,,0.4,,,240,,,87,1,30,
48,6,3,,1,5.1,,,,,1,0,1,4.4,,,,,,,,,25.0,,,,,1,2.9,,,,,20.0,,,,2,,,15.5,,,,1.2,,,350,,,184,2,38,
49,6,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
50,6,5,,1,5.0,,,,,1,0,1,4.2,,,,,,,,,27.0,,,,,1,3,,,,,24.0,,,,2.1,,,18,,,,1.5,,,420,,,242,1,32,
51,6,6,,1,5.1,,,,,2,0,1,4.3,,,,,,,,,30.0,,,,,1,3.3,,,,,25.0,,,,2.3,,,19.5,,,,1.7,,,430,,,255,2,49,
52,6,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
53,6,8,,3,4.2,2.7,1.7,,,1,0,3,3.8,2.6,1.7,,,,,,,28,27.0,22.0,,,3,2.7,2.1,1.6,,,20.5,20.0,17.0,,1.8,1.7,1.4,17,16,15,,1,0.9,,380,380,,226,2,73,5 stems2011
54,6,9,,2,4.6,3.5,,,,1,0,2,3.8,2.5,,,,,,,,27,,,,,2,2.9,1.8,,,,22.5,,,,2,1,,18,15,,,1.4,,,410,,,250,2,53,6 stems2011
55,7,1,,1,4.3,,,,,1,0,1,3.4,,,,,,,,,20.0,,,,,1,2.3,,,,,16.0,,,,1.5,,,13,,,,0.7,,,280,,,158,3,32,
56,7,2,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
57,7,3,,1,0.9,,,,,1,0,1,0.6,,,,,,,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,95,,,40,1,36,
58,7,4,,1,5.2,,,,,1,0,1,4.4,,,,,,,,,30,,,,,1,3.2,,,,,23.5,,,,2.3,,,18.5,,,,1.6,,,450,,,278,3,40,
59,7,5,,2,3.7,1.4,,,,1,0,2,3.2,1.3,,,,,,,,24.0,17.0,,,,2,2.3,1.1,,,,21.0,16.0,,,1.6,1,,16.5,14,,,1.1,,,380,,,227,1,39,
60,7,6,,3,4.2,3.3,1.7,,,1,0,3,3.8,3,1.6,,,,,,,28.0,26.0,17.0,,,3,2.8,2.1,1.5,,,24.0,20.0,17.0,,2.2,1.5,1.2,19.5,17,13.5,,1.7,,,460,,,280,3,83,3 stems2011
61,7,7,,2,4.9,4.5,,,,3,0,2,3.8,3.9,,,,,,,,30.0,28.0,,,,2,3.2,2.8,,,,25.0,25.0,,,2.3,2.3,,20,20,,,1.8,,,460,,,314,4,93," 68 cuttings 2011, 2 stems2011"
62,7,8,,1,5.1,,,,,1,0,1,4.3,,,,,,,,,28.0,,,,,1,3.3,,,,,25.0,,,,2.5,,,18.5,,,,1.6,,,450,,,316,1,133,
63,7,9,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
64,8,1,,2,2.0,1.8,,,,1,0,2,1.6,1.3,,,,,,,,18,,,,,2,0.6,0.5,,,,7.5,,,,0.2,,,7.2,,,,0.1,,,135,,,88,1,37,
65,8,2,,1,1.4,,,,,3,0,1,1,,,,,,,,,14,,,,,1,0.5,,,,,7.5,,,,0.2,,,7,,,,0.1,,,155,,,102,1,41,
66,8,3,,4,2.3,2.1,1.1,1.0,,1,0,4,1.6,1.5,0.8,0.7,,,,,,20,19.0,,,,4,0.7,0.6,0.5,0.5,,11.5,11.0,10.0,,0.4,0.3,0.2,7.6,,,,0.1,,,160,,,63,3,24,6 stems2011
67,8,4,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
68,8,5,,3,4.7,4.0,1.4,,,1,0,3,3.9,3.3,1.1,,,,,,,27.0,27.0,,,,3,3,2.4,1.1,,,23.0,22.0,13.0,,2.3,1.6,0.8,19,18,11,,1.4,1,,410,400,,270,3,52,39-cuttings 2011
69,8,6,,1,4.7,,,,,,0,1,4.1,,,,,,,,,28,,,,,1,3,,,,,24.5,,,,2,,,18.5,,,,1.4,,,410,,,248,2,52,
70,8,7,,2,5.2,1.4,,,,1,0,2,4.6,1,,,,,,,,28.0,,,,,2,3.6,1,,,,26.0,,,,2.6,0.7,,19.5,,,,1.8,,,470,,,275,2,95,2-stems2011
71,8,8,,1,4.1,,,,,1,0,1,1.7,,,,,,,,,27,,,,,1,2.4,,,,,25.5,,,,1.7,,,18,,,,1.1,,,390,,,215,1,33,
72,8,9,,2,4.8,1.8,,,,1,0,2,4.1,1.5,,,,,,,,25.0,,,,,1,3.1,,,,,21.0,,,,2.3,,,17.5,,,,1.5,,,390,,,231,3,55,
73,9,1,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
74,9,2,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
75,9,3,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
76,9,4,,1,0.8,,,,,1,0,1,0.8,,,,,,,,,14,,,,,1,0.4,,,,,8.5,,,,0.1,,,6.4,,,,0.1,,,148,,,77,2,27,
77,9,5,,5,4.3,3.5,1.8,1.6,1.4,2,0,5,3.6,3.1,1.5,1.5,1.4,,,,,27.0,27.0,,,,5,2.1,1.9,1.2,1.2,1,19.0,18.0,14.0,12.0,1.4,1.3,1,14.5,13.5,13,"5 stems .8 &.8 dbhs,  11.5 & 11.0 hts 2012",0.9,,,345,,,192,1,48,8stems2011
78,9,6,,1,4.9,,,,,1,0,1,4.1,,,,,,,,,27.0,,,,,1,3,,,,,23.0,,,,2.4,,,18,,,,1.6,,,430,,,250,1,62,
79,9,7,,1,2.8,,,,,1,0,1,2.3,,,,,,,,,23.0,,,,,1,1.6,,,,,16.0,,,,0.8,,,13,,,,0.4,,,295,,,114,2,21,
80,9,8,,1,6.1,,,,,1,1,1,5.5,,,,,,,,,30.0,,,,,1,3.8,,,,,26.0,,,,2.7,,,18.5,,,,1.9,,,450,,,280,1,85,
81,9,9,,1,5.0,,,,,1,0,1,4,,,,,,,,,27.0,,,,,1,3,,,,,25.0,,,,2.1,,,18.5,,,,1.4,,,420,,,255,2,56,
82,10,1,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
83,10,2,,1,2.6,,,,,1,0,1,1.9,,,,,,,,,16.0,,,,,1,0.9,,,,,11.0,,,,0.5,,,8.5,,,,0.2,,,165,,,88,2,25,6stems2011
84,10,3,,2,2.5,2.2,,,,1,0,2,1.8,1.5,,,,,,,,18,16.0,,,,2,1.2,1,,,,14.5,13.0,,,0.9,0.6,,12,11,,,0.4,,,260,,,143,1,36,3stems2011
85,10,4,,2,5.6,4.6,,,,1,0,2,4.4,3.9,,,,,,,,27.0,24.0,,,,2,2.9,2.5,,,,21.0,20.0,,,1.8,1.5,,14,13.5,,,0.9,,,325,,,185,1,55,
86,10,5,,1,5.3,,,,,1,0,1,4.3,,,,,,,,,27.0,,,,,1,3.3,,,,,22.0,,,,2.3,,,16,,,,1.3,,,350,,,200,1,37,
87,10,6,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
88,10,7,,1,4.5,,,,,1,0,1,3.6,,,,,,,,,20.0,,,,,1,2.5,,,,,16.0,,,,1.7,,,12.5,,,,0.8,,,305,,,175,1,39,
89,10,8,9,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,missing09
90,10,9,,1,5.4,,,,,1,0,1,4.3,,,,,,,,,23.0,,,,,1,3.1,,,,,20.0,,,,2.1,,,16.5,,,,1,,,345,,,176,1,68,
