Ord,Blk,Plot,Clone,Col,Row,Tree No,1DBH15,2DBH15,3DBH15,1DBH14,2DBH14,3DBH14,1HT14,2HT14,3HT14,1DBH13,2DBH13,3DBH13,1HT13,2HT13,3HT13,1DBH12,2DBH12,3DBH12,1HT12,Ckr12,DB12,1HT11,Stms13,Stms12,Status13,Status12,Notes
1,1,1,99007116,3,3,1,3.1,,,2.6,,,,,,1.8,,,,,,1.0,,,13.3,0.0,0.0,7.0,1,1,1,1,
2,1,1,99007116,3,4,2,2.9,,,2.6,,,,,,1.9,,,,,,1.2,,,14.5,0.0,0.0,8.6,1,1,1,1,
3,1,1,99007116,3,5,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.5,0,0,0,0,Died 2012
4,1,1,99007116,3,6,4,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.3,0,0,0,0,Deer browsed broken @ 4'
5,1,1,99007116,4,6,5,4.0,,,3.6,,,26.0,,,2.5,,,20.5,,,1.9,,,16.5,0.0,0.0,10.7,1,1,1,1,
6,1,1,99007116,4,5,6,3.4,,,2.9,,,26.0,,,1.9,,,20.0,,,1.2,,,15.5,0.0,0.0,7.3,1,1,1,1,
7,1,1,99007116,4,4,7,1.6,,,1.3,,,18.0,,,0.9,,,13.0,,,0.4,,,8.5,0.0,0.0,7.7,1,1,1,1,
8,1,1,99007116,4,3,8,2.0,,,1.7,,,20.0,,,1.2,,,14.0,,,0.9,,,13.0,0.0,0.0,7.0,1,1,1,1,
9,1,1,99007116,5,3,9,1.7,,,1.4,,,17.0,,,1.4,,,15.0,,,0.5,,,11.0,0.0,0.0,4.5,1,1,1,1,
10,1,1,99007116,5,4,10,4.1,,,3.4,,,22.0,,,2.5,,,21.5,,,1.3,,,15.0,0.0,0.0,9.0,1,1,1,1,
11,1,1,99007116,5,5,11,4.1,,,3.5,,,29.0,,,2.6,,,23.0,,,1.5,,,17.0,0.0,0.0,9.4,1,1,1,1,
12,1,1,99007116,5,6,12,4.1,,,3.5,,,31.0,,,2.6,,,22.5,,,1.6,,,17.5,0.0,0.0,9.9,1,1,1,1,
13,1,1,99007116,6,6,13,3.0,,,2.7,,,,,,1.7,,,,,,0.9,,,13.0,0.0,0.0,8.8,1,1,1,1,
14,1,1,99007116,6,5,14,3.4,,,3.3,,,,,,2.3,,,,,,1.4,,,15.0,0.0,0.0,8.8,1,1,1,1,
15,1,1,99007116,6,4,15,2.4,,,1.9,,,,,,1.5,,,,,,0.8,,,12.0,0.0,0.0,6.5,1,1,1,1,
16,1,1,99007116,6,3,16,3.0,,,2.4,,,,,,1.6,,,,,,0.9,,,13.0,0.0,0.0,6.3,1,1,1,1,
17,1,2,99038003,3,3,1,3.0,,,2.7,,,,,,1.9,,,,,,1.1,,,13.0,0.0,0.0,7.7,1,1,1,1,
18,1,2,99038003,3,4,2,3.3,,,2.9,,,,,,2.1,,,,,,1.2,,,14.0,0.0,0.0,8.3,1,1,1,1,
19,1,2,99038003,3,5,3,3.2,,,2.7,,,,,,2.0,,,,,,1.1,,,13.5,0.0,0.0,7.7,1,1,1,1,
20,1,2,99038003,3,6,4,2.9,,,2.5,,,,,,1.9,,,,,,1.1,,,13.5,0.0,0.0,8.1,1,1,1,1,
21,1,2,99038003,4,6,5,2.7,,,2.5,,,23.0,,,1.9,,,18.5,,,1.0,,,13.0,0.0,0.0,6.4,1,1,1,1,
22,1,2,99038003,4,5,6,2.9,,,2.3,,,25.0,,,1.8,,,18.5,,,1.0,,,13.0,0.0,0.0,6.5,1,1,1,1,
23,1,2,99038003,4,4,7,3.6,,,3.0,,,27.0,,,2.1,,,22.0,,,1.4,,,14.5,0.0,0.0,7.5,1,1,1,1,
24,1,2,99038003,4,3,8,2.2,,,1.9,,,24.0,,,1.5,,,17.5,,,0.9,,,12.5,0.0,0.0,6.8,1,1,1,1,
25,1,2,99038003,5,3,9,3.6,,,3.1,,,29.0,,,2.4,,,22.0,,,1.4,,,15.0,0.0,0.0,8.4,1,1,1,1,
26,1,2,99038003,5,4,10,2.9,,,2.7,,,27.0,,,2.0,,,20.5,,,1.1,,,14.0,0.0,0.0,7.4,1,1,1,1,
27,1,2,99038003,5,5,11,2.8,2.2,,2.5,2.1,,25.0,24.0,,2.0,1.6,,20.0,19.0,,1.1,0.9,,14.0,0.0,0.0,8.7,2,2,1,1,2-stems%
28,1,2,99038003,5,6,12,2.3,,,1.9,,,25.0,,,1.5,,,16.0,,,0.8,,,11.0,0.0,0.0,6.0,1,1,1,1,
29,1,2,99038003,6,6,13,3.1,,,2.7,,,,,,2.0,,,,,,1.1,,,13.0,0.0,0.0,7.3,1,1,1,1,
30,1,2,99038003,6,5,14,3.9,,,3.3,,,,,,2.5,,,,,,1.6,,,16.5,0.0,0.0,9.4,1,1,1,1,
31,1,2,99038003,6,4,15,3.3,,,2.8,,,,,,2.1,,,,,,1.2,,,14.5,0.0,0.0,9.2,1,1,1,1,
32,1,2,99038003,6,3,16,2.3,,,1.8,,,,,,1.6,,,,,,0.9,,,12.0,0.0,0.0,6.1,1,1,1,1,
33,1,3,DN164,3,3,1,4.2,,,3.2,,,,,,2.3,,,,,,1.3,,,14.0,0.0,0.0,7.9,1,1,1,1,
34,1,3,DN164,3,4,2,3.2,,,2.6,,,,,,2.0,,,,,,1.2,,,13.5,0.0,0.0,6.6,1,1,1,1,
35,1,3,DN164,3,5,3,3.7,,,3.6,,,,,,2.9,,,,,,1.1,,,13.5,0.0,0.0,8.3,1,1,1,1,
36,1,3,DN164,3,6,4,3.9,,,3.1,,,,,,2.2,,,,,,1.2,,,14.0,0.0,0.0,7.4,1,1,1,1,
37,1,3,DN164,4,6,5,4.2,,,3.3,,,28.0,,,2.2,,,21.0,,,1.2,,,14.5,0.0,0.0,7.9,1,1,1,1,
38,1,3,DN164,4,5,6,4.1,,,3.3,,,27.0,,,2.1,,,21.0,,,1.3,,,15.0,0.0,0.0,8.5,1,1,1,1,
39,1,3,DN164,4,4,7,3.2,,,2.5,,,25.0,,,1.8,,,18.5,,,1.1,,,14.5,0.0,0.0,6.8,1,1,1,1,
40,1,3,DN164,4,3,8,3.4,,,2.8,,,23.0,,,1.9,,,16.0,,,1.3,,,15.0,0.0,0.0,7.7,1,1,1,1,
41,1,3,DN164,5,3,9,5.0,,,4.0,,,30.0,,,2.6,,,24.0,,,1.6,,,16.5,0.0,0.0,8.3,1,1,1,1,
42,1,3,DN164,5,4,10,3.1,,,2.5,,,25.0,,,1.9,,,16.0,,,1.1,,,14.0,0.0,0.0,6.9,1,1,1,1,
43,1,3,DN164,5,5,11,2.7,,,2.2,,,27.0,,,1.9,,,18.0,,,0.8,,,13.5,0.0,0.0,6.8,1,1,1,1,
44,1,3,DN164,5,6,12,3.2,,,2.8,,,27.0,,,1.9,,,18.0,,,1.0,,,13.0,0.0,0.0,7.0,1,1,1,1,
45,1,3,DN164,6,6,13,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
46,1,3,DN164,6,5,14,4.2,,,3.6,,,,,,2.5,,,,,,1.4,,,14.0,0.0,0.0,8.2,1,1,1,1,
47,1,3,DN164,6,4,15,3.1,,,2.7,,,,,,1.9,,,,,,1.1,,,12.5,0.0,0.0,6.2,1,1,1,1,
48,1,3,DN164,6,3,16,4.4,,,3.7,,,,,,2.4,,,,,,1.5,,,15.0,0.0,0.0,8.1,1,1,1,1,
49,1,4,NM6,3,3,1,4.7,,,3.7,,,,,,3.0,,,,,,1.5,,,14.5,0.0,0.0,9.3,1,1,1,1,
50,1,4,NM6,3,4,2,2.6,,,2.1,,,,,,1.5,,,,,,0.9,,,11.5,0.0,0.0,6.9,1,1,1,1,
51,1,4,NM6,3,5,3,3.1,,,2.6,,,,,,1.8,,,,,,1.0,,,11.0,0.0,0.0,6.7,1,1,1,1,
52,1,4,NM6,3,6,4,3.0,,,2.3,,,,,,1.7,,,,,,0.7,,,11.5,0.0,0.0,7.0,1,1,1,1,
53,1,4,NM6,4,6,5,3.5,,,2.8,,,26.0,,,1.9,,,17.5,,,0.8,,,13.0,0.0,0.0,7.4,1,1,1,1,
54,1,4,NM6,4,5,6,3.5,,,2.9,,,25.0,,,1.9,,,19.0,,,1.0,,,12.0,0.0,0.0,6.7,1,1,1,1,
55,1,4,NM6,4,4,7,3.6,,,3.0,,,27.0,,,2.1,,,19.5,,,1.1,,,13.0,0.0,0.0,7.0,1,1,1,1,
56,1,4,NM6,4,3,8,3.5,,,3.0,,,27.0,,,2.1,,,19.5,,,1.0,,,13.5,0.0,0.0,7.4,1,1,1,1,
57,1,4,NM6,5,3,9,3.2,,,2.7,,,28.0,,,1.9,,,18.0,,,1.0,,,12.5,0.0,0.0,8.9,1,1,1,1,
58,1,4,NM6,5,4,10,3.2,,,2.7,,,27.0,,,2.0,,,19.0,,,1.0,,,11.5,0.0,0.0,7.0,1,1,1,1,
59,1,4,NM6,5,5,11,3.8,,,3.0,,,29.0,,,2.2,,,19.0,,,0.9,,,12.5,0.0,0.0,7.6,1,1,1,1,
60,1,4,NM6,5,6,12,3.4,,,2.7,,,29.0,,,1.8,,,18.5,,,1.0,,,10.5,0.0,0.0,6.6,1,1,1,1,
61,1,4,NM6,6,6,13,2.6,,,2.2,,,,,,1.6,,,,,,0.9,,,11.0,0.0,0.0,5.2,1,1,1,1,
62,1,4,NM6,6,5,14,3.5,,,2.9,,,,,,2.1,,,,,,0.9,,,12.0,0.0,0.0,7.2,1,1,1,1,
63,1,4,NM6,6,4,15,3.4,,,2.8,,,,,,2.1,,,,,,0.9,,,12.5,0.0,0.0,7.6,1,1,1,1,
64,1,4,NM6,6,3,16,3.0,1.8,,2.7,1.8,,,,,1.8,1.2,,,,,1.2,0.6,,11.5,0.0,0.0,6.1,2,2,1,1,Changed Data2014 from 4.7 to 2.7 in 2015
65,1,5,99037049,3,3,1,1.0,,,1.2,,,,,,0.8,,,,,,0.5,,,8.5,0.0,0.0,5.3,1,1,1,1,
66,1,5,99037049,3,4,2,1.9,,,1.4,,,,,,1.0,,,,,,0.6,,,10.0,0.0,0.0,6.2,1,1,1,1,
67,1,5,99037049,3,5,3,2.5,,,1.8,,,,,,1.5,,,,,,0.9,,,12.0,0.0,0.0,8.0,1,1,1,1,
68,1,5,99037049,3,6,4,1.9,1.6,,1.5,1.7,,,,,1.2,1.0,,,,,0.7,0.7,,11.0,0.0,0.0,7.4,2,2,1,1,2-stems
69,1,5,99037049,4,6,5,2.2,,,1.6,,,19.0,,,1.2,,,14.0,,,0.8,,,11.0,0.0,0.0,6.6,1,1,1,1,
70,1,5,99037049,4,5,6,,,,2.0,0.9,,15.0,,,1.0,1.4,,11.5,11.0,,0.6,,,9.5,0.0,0.0,5.7,2,1,1,1,
71,1,5,99037049,4,4,7,1.9,1.7,,1.5,1.4,0.4,18.0,17.0,13.0,1.1,1.0,0.4,13.5,13.5,11.5,0.7,0.7,0.3,11.0,0.0,0.0,6.8,3,3,1,1,3-stems
72,1,5,99037049,4,3,8,2.1,,,1.7,0.5,0.4,18.0,15.0,14.0,1.2,0.5,0.4,13.0,10.0,9.0,0.6,0.3,0.3,10.5,0.0,0.0,5.9,3,3,1,1,3-stems
73,1,5,99037049,5,3,9,2.7,1.0,,1.9,0.7,,20.0,15.0,,1.3,0.7,,16.0,15.0,,0.7,0.5,,11.5,0.0,0.0,5.7,2,2,1,1,2-stems
74,1,5,99037049,5,4,10,2.9,,,2.3,,,22.0,,,1.7,,,18.0,,,1.0,,,13.0,0.0,0.0,8.1,1,1,1,1,
75,1,5,99037049,5,5,11,2.6,,,2.1,,,23.0,,,1.5,,,17.5,,,0.9,,,12.5,0.0,0.0,7.5,1,1,1,1,
76,1,5,99037049,5,6,12,2.6,,,1.9,,,24.0,,,1.7,,,17.0,,,1.0,,,13.5,0.0,0.0,8.4,1,1,1,1,
77,1,5,99037049,6,6,13,1.9,,,1.5,,,,,,0.9,,,,,,0.6,,,10.5,0.0,0.0,5.7,1,1,1,1,
78,1,5,99037049,6,5,14,2.4,1.9,,1.9,1.4,,,,,1.4,,,,,,0.9,,,12.0,0.0,0.0,7.0,1,1,1,1,
79,1,5,99037049,6,4,15,,,,,,,,,,,,,,,,0.4,,,8.0,0.0,0.0,5.0,0,1,0,1,
80,1,5,99037049,6,3,16,1.9,,,1.7,,,,,,1.0,,,,,,0.7,,,11.0,0.0,0.0,7.0,1,1,1,1,
81,4,6,DN164,3,3,1,2.7,,,2.1,,,,,,1.5,,,,,,0.8,,,11.0,0.0,0.0,5.5,1,1,1,1,
82,4,6,DN164,3,4,2,3.1,,,2.4,,,,,,1.7,,,,,,0.9,0.7,,12.5,0.0,0.0,7.1,1,2,1,1,2-stems
83,4,6,DN164,3,5,3,3.0,,,2.3,,,,,,1.7,,,,,,1.0,,,11.5,0.0,0.0,7.4,1,1,1,1,
84,4,6,DN164,3,6,4,2.9,,,2.4,,,,,,1.7,,,,,,1.0,,,11.0,0.0,0.0,7.2,1,1,1,1,
85,4,6,DN164,4,6,5,2.5,2.5,,2.1,2.1,,23.0,23.0,,1.6,1.5,,16.5,15.0,,0.9,,,12.0,0.0,0.0,7.6,2,1,1,1,
86,4,6,DN164,4,5,6,3.2,,,2.3,,,22.0,,,1.8,,,17.5,,,1.0,,,13.5,0.0,0.0,8.2,1,1,1,1,
87,4,6,DN164,4,4,7,3.0,,,2.4,,,23.0,,,1.6,,,18.0,,,0.9,,,12.5,0.0,0.0,6.6,1,1,1,1,
88,4,6,DN164,4,3,8,3.2,,,2.5,,,23.0,,,1.7,,,16.0,,,0.9,,,12.0,0.0,0.0,7.0,1,1,1,1,
89,4,6,DN164,5,3,9,3.2,,,2.4,,,25.0,,,1.6,,,15.5,,,0.9,,,12.5,0.0,0.0,6.8,1,1,1,1,
90,4,6,DN164,5,4,10,2.6,,,2.1,,,23.0,,,1.4,,,15.0,,,0.8,,,11.0,0.0,0.0,6.3,1,1,1,1,
91,4,6,DN164,5,5,11,3.7,,,2.8,,,25.0,,,2.5,,,19.0,,,1.4,,,13.0,0.0,0.0,8.7,1,1,1,1,
92,4,6,DN164,5,6,12,3.0,,,2.3,,,22.0,,,2.0,,,17.0,,,0.9,,,11.5,0.0,0.0,7.6,1,1,1,1,
93,4,6,DN164,6,6,13,3.1,,,2.2,,,,,,1.6,,,,,,0.8,,,11.5,0.0,0.0,6.8,1,1,1,1,
94,4,6,DN164,6,5,14,2.6,,,2.1,,,,,,1.4,,,,,,0.9,,,11.5,0.0,0.0,6.9,1,1,1,1,
95,4,6,DN164,6,4,15,3.2,,,2.7,,,,,,1.7,,,,,,0.9,,,12.5,0.0,0.0,6.6,1,1,1,1,
96,4,6,DN164,6,3,16,2.9,,,2.4,,,,,,1.6,,,,,,0.9,,,12.0,0.0,0.0,6.3,1,1,1,1,
97,4,7,83XAA04,3,3,1,1.3,,,0.9,,,,,,0.6,,,,,,0.1,,,5.5,0.0,0.0,1.1,1,1,1,1,
98,4,7,83XAA04,3,4,2,2.2,0.9,,1.4,0.6,,,,,0.9,0.5,0.2,,,,0.3,0.3,0.2,7.5,0.0,0.0,3.4,3,3,1,1,3-stems
99,4,7,83XAA04,3,5,3,4.1,3.6,,2.9,2.5,,,,,2.0,1.8,,,,,1.1,0.8,,12.0,0.0,0.0,5.6,2,2,1,1,2-stems
100,4,7,83XAA04,3,6,4,2.5,,,1.8,,,,,,0.8,,,,,,0.2,,,5.5,0.0,0.0,2.0,1,1,1,1,
101,4,7,83XAA04,4,6,5,1.6,1.1,,1.0,0.7,,15.0,12.0,,0.8,0.6,0.4,11.0,9.0,6.0,0.3,,,8.0,0.0,0.0,2.6,3,1,1,1,
102,4,7,83XAA04,4,5,6,4.3,,,3.4,,,26.0,,,2.5,,,19.0,,,1.1,,,11.5,0.0,0.0,5.6,1,1,1,1,
103,4,7,83XAA04,4,4,7,2.7,2.6,,1.9,2.1,,24.0,23.0,,1.5,1.0,,16.0,15.5,,0.6,,,9.5,0.0,0.0,3.8,2,1,1,1,
104,4,7,83XAA04,4,3,8,5.0,1.3,,3.8,1.0,,26.0,25.0,,2.4,1.0,,18.5,16.0,,1.0,0.7,,11.0,0.0,0.0,5.1,2,2,1,1,2-stems
105,4,7,83XAA04,5,3,9,4.2,,,3.0,,,25.0,,,2.0,,,18.0,,,0.7,,,10.0,0.0,0.0,4.9,1,1,1,1,
106,4,7,83XAA04,5,4,10,1.2,,,1.0,0.5,,15.0,12.0,,0.7,,,9.5,9.5,,0.1,,,5.5,0.0,0.0,2.7,1,1,1,1,
107,4,7,83XAA04,5,5,11,2.2,,,1.6,,,17.0,,,1.4,,,12.0,,,0.5,,,8.0,0.0,0.0,2.9,1,1,1,1,
108,4,7,83XAA04,5,6,12,4.7,,,3.5,,,25.0,,,2.1,,,18.0,,,0.9,,,11.5,0.0,0.0,6.6,1,1,1,1,
109,4,7,83XAA04,6,6,13,4.0,,,3.1,,,,,,2.2,,,,,,0.7,,,10.5,0.0,0.0,4.4,1,1,1,1,
110,4,7,83XAA04,6,5,14,5.7,,,4.5,,,,,,3.2,,,,,,1.6,,,13.5,0.0,0.0,7.4,1,1,1,1,
111,4,7,83XAA04,6,4,15,2.7,,,2.0,,,,,,1.4,,,,,,0.5,,,9.5,0.0,0.0,3.3,1,1,1,1,
112,4,7,83XAA04,6,3,16,4.5,,,3.9,,,,,,2.6,,,,,,,,,,0.0,0.0,8.2,1,0,1,0,different tree not aspen
113,4,8,NM6,3,3,1,3.8,,,3.2,,,,,,2.5,,,,,,1.2,,,14.0,0.0,0.0,8.1,1,1,1,1,
114,4,8,NM6,3,4,2,3.8,,,2.6,,,,,,2.4,,,,,,1.2,,,14.5,0.0,0.0,8.1,1,1,1,1,
115,4,8,NM6,3,5,3,4.0,,,3.4,,,,,,2.5,,,,,,1.3,,,14.0,0.0,0.0,9.0,1,1,1,1,
116,4,8,NM6,3,6,4,3.5,,,2.7,,,,,,2.3,,,,,,1.2,,,14.0,0.0,0.0,8.2,1,1,1,1,
117,4,8,NM6,4,6,5,2.7,2.2,,2.4,1.9,,30.0,21.0,,1.6,1.4,,19.0,18.0,,0.9,0.8,,12.0,0.0,0.0,6.5,2,2,1,1,2-stems
118,4,8,NM6,4,5,6,3.9,,,3.2,,,30.0,,,2.3,,,22.0,,,1.1,,,13.0,0.0,0.0,7.8,1,1,1,1,
119,4,8,NM6,4,4,7,3.9,,,3.4,,,27.0,,,2.5,,,21.5,,,1.3,,,14.5,0.0,0.0,8.0,1,1,1,1,
120,4,8,NM6,4,3,8,3.4,,,2.9,,,29.0,,,2.2,0.7,,20.5,15.0,,1.1,0.5,,14.0,0.0,0.0,7.9,2,2,1,1,2-stems
121,4,8,NM6,5,3,9,3.6,,,3.0,,,27.0,,,2.3,,,21.0,,,1.2,,,13.5,0.0,0.0,7.6,1,1,1,1,
122,4,8,NM6,5,4,10,3.2,,,2.7,,,25.0,,,2.1,,,19.0,,,1.0,,,12.0,0.0,0.0,6.4,1,1,1,1,
123,4,8,NM6,5,5,11,3.4,,,3.5,,,27.0,,,2.1,,,20.5,,,1.1,,,13.5,0.0,0.0,6.5,1,1,1,1,
124,4,8,NM6,5,6,12,2.6,,,2.1,,,24.0,,,1.6,,,18.0,,,0.8,,,10.5,0.0,0.0,5.0,1,1,1,1,
125,4,8,NM6,6,6,13,3.6,,,3.1,,,,,,2.6,,,,,,1.2,,,14.5,0.0,0.0,8.2,1,1,1,1,
126,4,8,NM6,6,5,14,2.8,,,2.3,,,,,,,,,,,,1.4,,,15.0,2.0,0.0,9.2,0,1,0,1,stem canker at 3'
127,4,8,NM6,6,4,15,2.7,2.2,,2.4,1.9,,,,,1.9,1.4,,,,,1.1,0.8,,14.0,2.0,0.0,7.9,2,2,1,1,"2-stems, stem canker @ 1.5'"
128,4,8,NM6,6,3,16,4.8,,,4.3,,,,,,2.9,,,,,,1.6,,,16.0,0.0,0.0,9.7,1,1,1,1,
129,1,9,DN177,3,3,1,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
130,1,9,DN177,3,4,2,4.1,,,3.4,,,,,,2.2,,,,,,1.4,,,15.0,0.0,0.0,9.2,1,1,1,1,
131,1,9,DN177,3,5,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
