Ord,Blk,Plot,Clone,Col,Row,Tree No,1DBH15,2DBH15,3DBH15,1DBH14,2DBH14,3DBH14,1HT14,2HT14,3HT14,1DBH13,2DBH13,3DBH13,1HT13,2HT13,3HT13,1DBH12,2DBH12,3DBH12,1HT12,Ckr12,DB12,1HT11,Stms13,Stms12,Status13,Status12,Notes
271,2,17,9732-31,6,4,15,3.1,,,2.9,,,,,,1.9,,,,,,1.0,,,12.0,0.0,0.0,5.3,1,1,1,1,
272,2,17,9732-31,6,3,16,4.3,,,3.5,,,,,,2.6,,,,,,1.6,,,15.5,0.0,0.0,8.5,1,1,1,1,
273,2,18,83XAA04,3,3,1,4.8,,,3.4,,,,,,2.2,1.0,,,,,1.2,1.0,,12.5,0.0,0.0,7.4,2,2,1,1,
274,2,18,83XAA04,3,4,2,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,1.8,0,0,0,1,NA too short for DBH
275,2,18,83XAA04,3,5,3,4.9,,,3.7,,,,,,2.3,,,,,,1.0,,,10.0,0.0,0.0,6.2,1,1,1,1,
276,2,18,83XAA04,3,6,4,,,,,,,,,,,,,,,,,,,2.5,0.0,0.0,,0,0,0,1,NA too short for DBH
277,2,18,83XAA04,4,6,5,3.6,3.5,,2.6,2.6,,25.0,24.0,,1.8,1.7,,17.5,17.0,,1.1,,,12.0,0.0,0.0,6.7,2,1,1,1,
278,2,18,83XAA04,4,5,6,4.5,,,3.4,,,25.0,,,2.2,,,16.5,,,0.9,,,10.5,0.0,0.0,4.5,1,1,1,1,
279,2,18,83XAA04,4,4,7,,,,1.2,,,17.0,,,0.8,0.5,,10.0,7.0,,0.2,0.1,,6.0,0.0,0.0,2.1,2,2,1,1,
280,2,18,83XAA04,4,3,8,,,,1.2,,,15.0,,,0.5,,,8.0,,,0.2,,,6.5,0.0,0.0,3.5,1,1,1,1,
281,2,18,83XAA04,5,3,9,1.8,,,1.2,,,14.0,,,0.7,,,10.0,,,0.3,,,7.5,0.0,0.0,1.7,1,1,1,1,
282,2,18,83XAA04,5,4,10,2.0,,,1.2,,,15.0,,,0.7,,,9.0,,,0.1,,,5.5,0.0,0.0,2.7,1,1,1,1,
283,2,18,83XAA04,5,5,11,4.1,,,3.1,,,23.0,,,1.9,,,17.5,,,0.8,,,10.0,0.0,0.0,5.7,1,1,1,1,
284,2,18,83XAA04,5,6,12,1.8,,,1.2,,,15.0,,,0.6,,,9.0,,,0.1,,,5.0,0.0,0.0,1.9,1,1,1,1,
285,2,18,83XAA04,6,6,13,0.9,,,0.4,,,,,,0.2,,,,,,,,,3.0,0.0,0.0,,1,0,1,1,NA too short for DBH
286,2,18,83XAA04,6,5,14,4.1,,,2.9,,,,,,1.7,,,,,,0.6,,,9.5,0.0,0.0,4.4,1,1,1,1,
287,2,18,83XAA04,6,4,15,0.6,,,0.3,,,,,,,,,,,,0.1,,,6.0,0.0,0.0,3.1,0,1,0,1,resprout2014
288,2,18,83XAA04,6,3,16,4.5,,,3.3,,,,,,2.0,,,,,,0.8,,,9.0,0.0,0.0,5.4,1,1,1,1,
289,3,19,NM6,3,3,1,4.2,,,3.4,1.1,,,,,2.3,0.9,,,,,1.4,0.6,,16.5,0.0,0.0,10.4,2,2,1,1,
290,3,19,NM6,3,4,2,3.5,,,2.9,,,,,,2.5,,,,,,1.2,,,14.0,0.0,0.0,8.6,1,1,1,1,
291,3,19,NM6,3,5,3,3.1,,,2.8,,,,,,2.2,,,,,,1.1,0.3,,14.0,0.0,0.0,7.7,1,2,1,1,
292,3,19,NM6,3,6,4,3.8,,,3.4,,,,,,2.6,,,,,,1.5,,,15.5,0.0,0.0,9.1,1,1,1,1,
293,3,19,NM6,4,6,5,4.1,,,3.5,,,28.0,,,2.6,,,,20.5,,1.5,,,14.5,0.0,0.0,8.7,1,1,1,1,
294,3,19,NM6,4,5,6,3.4,,,3.0,,,28.0,,,2.4,,,,20.0,,1.4,,,14.5,0.0,0.0,8.7,1,1,1,1,
295,3,19,NM6,4,4,7,3.3,,,2.9,,,30.0,,,2.4,,,,19.5,,1.2,,,14.5,0.0,0.0,8.8,1,1,1,1,
296,3,19,NM6,4,3,8,3.6,,,3.0,,,28.0,,,2.4,,,,22.0,,1.2,,,15.5,0.0,0.0,8.9,1,1,1,1,
297,3,19,NM6,5,3,9,3.8,,,3.4,,,27.0,,,2.6,,,22.0,,,1.4,,,16.0,0.0,0.0,8.6,1,1,1,1,
298,3,19,NM6,5,4,10,3.0,,,2.6,,,25.0,,,1.9,,,19.5,,,1.1,,,13.5,0.0,0.0,7.3,1,1,1,1,
299,3,19,NM6,5,5,11,4.4,,,3.4,,,27.0,,,2.8,,,20.5,,,1.5,,,15.0,0.0,0.0,9.1,1,1,1,1,
300,3,19,NM6,5,6,12,3.6,,,3.2,,,27.0,,,2.3,,,20.5,,,1.4,,,14.0,0.0,0.0,8.6,1,1,1,1,
301,3,19,NM6,6,6,13,3.4,,,2.8,,,,,,2.3,,,,,,0.9,,,13.5,0.0,0.0,8.5,1,1,1,1,
302,3,19,NM6,6,5,14,3.8,,,3.3,,,,,,2.4,,,,,,1.3,,,12.5,0.0,0.0,8.0,1,1,1,1,
303,3,19,NM6,6,4,15,3.3,,,2.8,,,,,,2.0,1.1,,,,,0.9,0.7,,13.5,0.0,0.0,7.4,2,2,1,1,
304,3,19,NM6,6,3,16,4.1,,,3.8,,,,,,2.6,,,,,,1.7,,,15.0,0.0,0.0,9.4,1,1,1,1,
305,4,20,DN170 ,3,3,1,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
306,4,20,DN170 ,3,4,2,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
307,4,20,DN170 ,3,5,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
308,4,20,DN170 ,3,6,4,,,,,,,,,,1.1,,,,,,0.9,,,12.0,0.0,0.0,8.1,1,1,1,1,
309,4,20,DN170 ,4,6,5,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
310,4,20,DN170 ,4,5,6,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
311,4,20,DN170 ,4,4,7,3.2,,,2.4,,,24.0,,,1.5,,,16.0,,,0.8,,,11.0,0.0,0.0,6.7,1,1,1,1,
312,4,20,DN170 ,4,3,8,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
313,4,20,DN170 ,5,3,9,3.9,,,2.8,,,24.0,,,1.8,,,17.0,,,0.9,,,12.5,0.0,0.0,7.4,1,1,1,1,
314,4,20,DN170 ,5,4,10,4.1,,,3.1,,,25.0,,,1.9,,,18.0,,,0.9,,,12.5,0.0,0.0,7.4,1,1,1,1,
315,4,20,DN170 ,5,5,11,2.8,,,1.7,,,20.0,,,0.6,0.4,0.3,12.0,8.5,8.0,0.3,0.2,0.2,7.5,0.0,0.0,4.8,3,3,1,1,
316,4,20,DN170 ,5,6,12,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
317,4,20,DN170 ,6,6,13,4.1,,,3.2,,,,,,1.8,,,,,,1.0,,,13.0,0.0,0.0,6.8,1,1,1,1,
318,4,20,DN170 ,6,5,14,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
319,4,20,DN170 ,6,4,15,3.8,,,3.0,,,,,,2.0,,,,,,1.0,,,13.0,0.0,0.0,7.7,1,1,1,1,
320,4,20,DN170 ,6,3,16,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
321,3,21,99037049,3,3,1,2.4,,,2.0,,,,,,1.3,,,,,,0.8,,,10.0,0.0,0.0,7.3,1,1,1,1,
322,3,21,99037049,3,4,2,1.4,,,0.8,,,,,,0.6,,,,,,0.2,,,7.0,0.0,0.0,4.9,1,1,1,1,
323,3,21,99037049,3,5,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.7,0,0,0,0,
324,3,21,99037049,3,6,4,1.8,,,1.2,,,,,,1.0,,,,,,0.6,,,10.0,0.0,0.0,6.8,1,1,1,1,
325,3,21,99037049,4,6,5,1.5,,,1.0,,,17.0,,,0.9,,,10.5,,,0.5,,,9.0,0.0,0.0,6.8,1,1,1,1,
326,3,21,99037049,4,5,6,1.4,,,1.0,,,17.0,,,0.5,,,10.0,,,0.4,,,7.5,0.0,0.0,5.0,1,1,1,1,
327,3,21,99037049,4,4,7,2.1,,,1.6,,,20.0,,,1.1,,,14.0,,,0.6,,,9.5,0.0,0.0,6.1,1,1,1,1,
328,3,21,99037049,4,3,8,1.1,0.9,,0.9,0.7,,17.0,,,0.5,,,9.0,,,0.3,,,7.0,0.0,0.0,4.7,1,1,1,1,
329,3,21,99037049,5,3,9,3.0,,,2.3,,,24.0,,,1.7,,,18.0,,,1.0,,,12.5,0.0,0.0,8.1,1,1,1,1,
330,3,21,99037049,5,4,10,2.2,,,1.2,,,21.0,,,1.2,,,15.0,,,0.6,,,10.5,0.0,0.0,7.2,1,1,1,1,
331,3,21,99037049,5,5,11,2.1,,,1.7,,,19.0,,,1.1,,,13.0,,,0.6,,,9.5,0.0,0.0,5.8,1,1,1,1,
332,3,21,99037049,5,6,12,1.9,,,1.3,,,17.0,,,1.0,,,13.0,,,0.5,,,9.0,0.0,0.0,6.3,1,1,1,1,
333,3,21,99037049,6,6,13,2.1,,,1.6,,,,,,1.0,,,,,,0.4,,,9.0,0.0,0.0,6.1,1,1,1,1,
334,3,21,99037049,6,5,14,2.4,,,1.9,,,,,,1.4,,,,,,0.7,,,11.0,0.0,0.0,6.5,1,1,1,1,
335,3,21,99037049,6,4,15,3.1,,,2.6,,,,,,0.7,,,,,,1.1,,,12.5,0.0,0.0,8.4,1,1,1,1,
336,3,21,99037049,6,3,16,,,,,,,,,,,,,,,,0.8,,,10.0,0.0,0.0,7.6,0,1,0,1,
337,3,22,99038003,3,3,1,3.8,,,3.3,,,,,,2.5,,,,,,1.5,,,15.0,0.0,0.0,9.7,1,1,1,1,
338,3,22,99038003,3,4,2,3.6,,,3.2,,,,,,2.1,,,,,,1.2,,,14.0,0.0,0.0,9.5,1,1,1,1,
339,3,22,99038003,3,5,3,3.1,,,2.6,,,,,,1.9,,,,,,1.1,,,13.5,0.0,0.0,8.5,1,1,1,1,
340,3,22,99038003,3,6,4,2.8,,,2.4,,,,,,1.8,,,,,,1.0,,,13.0,0.0,0.0,7.4,1,1,1,1,
341,3,22,99038003,4,6,5,2.7,,,2.1,,,25.0,,,1.9,,,18.5,,,1.0,,,13.0,0.0,0.0,7.9,1,1,1,1,
342,3,22,99038003,4,5,6,1.9,,,1.8,,,23.0,,,1.8,,,15.0,,,0.8,,,12.0,0.0,0.0,7.6,1,1,1,1,
343,3,22,99038003,4,4,7,1.9,,,1.6,,,24.0,,,1.2,,,15.0,,,0.8,,,10.0,0.0,0.0,5.8,1,1,1,1,
344,3,22,99038003,4,3,8,4.5,,,3.6,,,34.0,,,2.6,,,23.0,,,1.7,,,16.5,0.0,0.0,10.5,1,1,1,1,
345,3,22,99038003,5,3,9,3.2,,,2.7,,,26.0,,,2.2,,,21.0,,,1.2,,,14.5,0.0,0.0,8.4,1,1,1,1,
346,3,22,99038003,5,4,10,3.5,,,3.1,,,26.0,,,2.3,,,21.0,,,1.3,,,14.5,0.0,0.0,9.3,1,1,1,1,
347,3,22,99038003,5,5,11,3.0,,,2.8,,,25.0,,,1.9,,,18.5,,,1.1,,,12.0,0.0,0.0,7.1,1,1,1,1,
348,3,22,99038003,5,6,12,3.2,,,2.8,,,25.0,,,2.0,,,18.5,,,1.1,,,13.5,0.0,0.0,8.0,1,1,1,1,
349,3,22,99038003,6,6,13,3.7,,,3.2,,,,,,2.5,,,,,,1.4,,,16.5,0.0,0.0,9.5,1,1,1,1,
350,3,22,99038003,6,5,14,3.6,,,3.4,,,,,,2.3,,,,,,1.5,,,15.0,0.0,0.0,9.8,1,1,1,1,
351,3,22,99038003,6,4,15,3.2,,,2.7,,,,,,2.3,,,,,,1.3,,,14.5,0.0,0.0,9.7,1,1,1,1,
352,3,22,99038003,6,3,16,3.3,,,2.6,,,,,,2.2,,,,,,1.1,,,14.0,2.0,0.0,9.3,1,1,1,1,stem canker
353,2,23,DN164,3,3,1,3.0,,,2.4,,,,,,1.8,,,,,,1.0,,,13.0,0.0,0.0,7.8,1,1,1,1,
354,2,23,DN164,3,4,2,3.1,,,2.5,,,,,,1.8,,,,,,0.9,,,12.5,0.0,0.0,7.7,1,1,1,1,
355,2,23,DN164,3,5,3,2.1,,,1.9,,,,,,1.3,,,,,,0.7,,,10.5,0.0,0.0,5.2,1,1,1,1,
356,2,23,DN164,3,6,4,3.7,,,3.0,,,,,,1.9,,,,,,0.9,,,13.5,0.0,0.0,6.4,1,1,1,1,
357,2,23,DN164,4,6,5,3.0,,,2.6,,,28.0,,,1.7,,,20.0,,,0.9,,,13.0,0.0,0.0,6.9,1,1,1,1,
358,2,23,DN164,4,5,6,2.7,,,2.2,,,24.0,,,2.0,,,17.0,,,1.2,,,14.5,0.0,0.0,7.5,1,1,1,1,
359,2,23,DN164,4,4,7,3.1,1.5,,2.8,1.3,,27.0,19.0,,1.9,1.2,,19.0,16.0,,1.1,0.8,,14.0,0.0,0.0,8.5,2,2,1,1,
360,2,23,DN164,4,3,8,2.2,,,1.8,,,24.0,,,1.4,,,17.0,,,0.8,,,12.0,0.0,0.0,6.0,1,1,1,1,
361,2,23,DN164,5,3,9,4.0,,,3.2,,,28.0,,,2.5,,,23.0,,,1.5,,,17.0,2.0,0.0,10.4,1,1,1,1,
362,2,23,DN164,5,4,10,3.1,,,2.4,,,26.0,,,1.8,,,20.0,,,0.9,,,13.5,0.0,0.0,7.3,1,1,1,1,
363,2,23,DN164,5,5,11,4.2,,,3.3,,,29.0,,,2.5,,,22.0,,,1.5,,,16.5,0.0,0.0,9.0,1,1,1,1,
364,2,23,DN164,5,6,12,4.2,,,3.2,,,28.0,,,2.6,,,22.0,,,1.3,,,15.5,0.0,0.0,8.7,1,1,1,1,
365,2,23,DN164,6,6,13,3.7,,,3.1,,,,,,2.4,,,,,,1.3,,,15.0,0.0,0.0,8.6,1,1,1,1,
366,2,23,DN164,6,5,14,4.0,,,3.3,,,,,,2.5,,,,,,1.4,,,16.0,0.0,0.0,9.5,1,1,1,1,
367,2,23,DN164,6,4,15,4.3,,,3.7,,,,,,2.7,,,,,,1.6,,,17.5,0.0,0.0,9.9,1,1,1,1,
368,2,23,DN164,6,3,16,3.3,2.0,,2.7,1.7,,,,,2.1,,,,,,1.4,1.1,,16.5,0.0,0.0,9.1,1,2,1,1,
369,2,24,99038003,3,3,1,2.0,,,1.6,,,,,,1.3,,,,,,0.8,,,10.5,0.0,0.0,4.3,1,1,1,1,
370,2,24,99038003,3,4,2,2.2,1.8,,1.5,1.7,0.6,,,,1.3,1.1,0.6,,,,0.6,0.6,0.4,10.5,0.0,0.0,4.4,3,3,1,1,
371,2,24,99038003,3,5,3,2.7,,,2.5,,,,,,1.8,,,,,,0.9,,,12.5,0.0,0.0,5.2,1,1,1,1,
372,2,24,99038003,3,6,4,3.5,,,2.6,,,,,,2.3,,,,,,1.2,,,14.0,0.0,0.0,6.9,1,1,1,1,
373,2,24,99038003,4,6,5,2.8,,,2.3,,,26.0,,,1.7,0.9,,19.0,13.0,,0.8,0.7,,12.5,0.0,0.0,6.3,2,2,1,1,
374,2,24,99038003,4,5,6,1.8,,,1.4,,,23.0,,,1.2,,,15.0,,,0.6,,,10.5,0.0,0.0,4.9,1,1,1,1,
375,2,24,99038003,4,4,7,3.1,,,2.7,,,25.0,,,2.0,,,19.5,,,1.1,,,13.0,0.0,0.0,6.3,1,1,1,1,
376,2,24,99038003,4,3,8,2.2,,,1.8,,,21.0,,,1.3,,,15.0,,,0.6,,,10.0,0.0,0.0,4.4,1,1,1,1,
377,2,24,99038003,5,3,9,4.4,,,3.5,,,27.0,,,2.8,,,23.0,,,1.6,,,17.0,0.0,0.0,9.5,1,1,1,1,
378,2,24,99038003,5,4,10,2.9,,,2.5,,,25.0,,,2.1,,,19.5,,,1.1,,,15.0,1.0,0.0,8.5,1,1,1,1,
379,2,24,99038003,5,5,11,3.6,,,3.0,,,26.0,,,2.7,,,21.0,,,1.4,,,15.5,1.0,0.0,9.2,1,1,1,1,
380,2,24,99038003,5,6,12,2.7,,,2.3,,,24.0,,,1.9,,,19.0,,,1.1,,,14.0,0.0,0.0,8.6,1,1,1,1,
381,2,24,99038003,6,6,13,3.7,,,3.3,,,,,,2.7,,,,,,1.7,,,17.5,0.0,0.0,9.6,1,1,1,1,
382,2,24,99038003,6,5,14,3.7,,,3.2,,,,,,2.7,,,,,,1.5,,,17.0,1.0,0.0,9.8,1,1,1,1,
383,2,24,99038003,6,4,15,3.4,,,3.0,,,,,,2.5,,,,,,1.6,,,17.0,1.0,0.0,10.1,1,1,1,1,
384,2,24,99038003,6,3,16,1.7,,,0.8,,,,,,0.8,,,,,,0.7,,,11.5,0.0,0.0,5.1,1,1,1,1,
385,2,25,99037049,3,3,1,2.5,,,2.0,,,,,,1.4,,,,,,0.8,,,11.0,0.0,0.0,7.5,1,1,1,1,
386,2,25,99037049,3,4,2,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
387,2,25,99037049,3,5,3,2.3,,,1.8,,,,,,1.2,,,,,,0.6,,,10.0,0.0,0.0,5.3,1,1,1,1,
388,2,25,99037049,3,6,4,2.4,,,2.1,,,,,,1.4,,,,,,0.8,,,12.0,0.0,0.0,7.0,1,1,1,1,
389,2,25,99037049,4,6,5,1.4,,,1.0,,,18.0,,,0.7,0.3,,12.0,,,0.3,0.1,,8.0,0.0,0.0,4.3,2,2,1,1,
390,2,25,99037049,4,5,6,2.2,,,1.7,,,17.0,,,1.1,,,13.0,,,0.5,,,9.0,0.0,0.0,4.8,1,1,1,1,
391,2,25,99037049,4,4,7,0.9,,,0.6,,,10.0,,,0.6,,,10.0,,,0.5,,,8.0,0.0,0.0,6.2,1,1,1,1,
392,2,25,99037049,4,3,8,0.7,0.7,,0.5,0.2,,15.0,13.0,,0.4,0.2,0.1,10.0,,,0.2,0.1,0.1,6.5,0.0,0.0,4.1,3,3,1,1,
393,2,25,99037049,5,3,9,2.4,,,1.9,,,22.0,,,1.3,,,17.0,,,0.8,,,12.0,0.0,0.0,6.7,1,1,1,1,
394,2,25,99037049,5,4,10,2.0,,,1.7,,,19.0,,,1.2,,,15.0,,,0.7,,,11.0,0.0,0.0,7.3,1,1,1,1,
395,2,25,99037049,5,5,11,,,,,,,,,,,,,,,,0.1,,,5.0,0.0,0.0,2.8,0,1,0,1,
396,2,25,99037049,5,6,12,1.7,,,1.3,,,17.0,,,1.0,,,12.0,,,0.6,,,9.0,0.0,0.0,5.7,1,1,1,1,
397,2,25,99037049,6,6,13,2.0,,,1.6,,,,,,1.1,,,,,,0.7,,,10.5,0.0,0.0,5.9,1,1,1,1,
398,2,25,99037049,6,5,14,2.1,,,1.6,,,,,,1.2,,,,,,0.7,,,11.5,0.0,0.0,6.2,1,1,1,1,
399,2,25,99037049,6,4,15,2.6,,,2.3,,,,,,1.5,,,,,,0.9,,,13.0,0.0,0.0,6.5,1,1,1,1,
400,2,25,99037049,6,3,16,2.3,,,1.9,,,,,,1.4,,,,,,0.8,,,12.0,0.0,0.0,7.4,1,1,1,1,
401,2,26,DN177,3,3,1,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
402,2,26,DN177,3,4,2,3.5,,,2.6,,,,,,1.7,,,,,,0.9,,,12.5,0.0,0.0,7.7,1,1,1,1,
403,2,26,DN177,3,5,3,3.7,,,2.9,,,,,,2.1,,,,,,1.2,,,15.0,0.0,0.0,9.5,1,1,1,1,
404,2,26,DN177,3,6,4,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
405,2,26,DN177,4,6,5,3.6,,,3.0,,,28.0,,,2.0,,,20.0,,,1.2,,,15.0,1.0,0.0,9.4,1,1,1,1,
406,2,26,DN177,4,5,6,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
407,2,26,DN177,4,4,7,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,0,0,0,
